epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1173.48,1.70934,1.73705,1.72686,0.40643,0.32989,0.31695,0.12157,2.25757,2.23963,2.14365,0.00100687,0.00100687,0.00100687
18,1240.48,1.7084,1.73575,1.72498,0.44162,0.40714,0.35699,0.13634,2.2479,2.05693,2.10284,0.00096561,0.00096561,0.00096561
19,1310.15,1.70094,1.69517,1.71078,0.41888,0.41273,0.36005,0.13073,2.27433,2.08461,2.12301,0.000924352,0.000924352,0.000924352
20,1379.78,1.68501,1.66748,1.69841,0.40753,0.37358,0.34057,0.12712,2.21772,2.15324,2.02407,0.000883093,0.000883093,0.000883093
21,1446.82,1.67406,1.64908,1.68048,0.41765,0.39874,0.37103,0.1512,2.15052,2.12279,2.00566,0.000841835,0.000841835,0.000841835
22,1515.07,1.66949,1.61398,1.68684,0.4371,0.3726,0.35068,0.14071,2.19411,2.11913,2.05036,0.000800577,0.000800577,0.000800577
23,1580.87,1.63522,1.59479,1.66143,0.41694,0.41261,0.37976,0.1507,2.19585,2.0268,2.0412,0.000759318,0.000759318,0.000759318
24,1652.2,1.6203,1.55826,1.64902,0.40043,0.3779,0.34306,0.13241,2.22438,2.16004,2.04804,0.00071806,0.00071806,0.00071806
25,1720.09,1.6243,1.53021,1.62695,0.44874,0.36782,0.36801,0.1541,2.22244,2.08921,2.05326,0.000676802,0.000676802,0.000676802
26,1785.48,1.60234,1.50085,1.62424,0.36722,0.40559,0.35671,0.13695,2.20688,2.10341,2.05111,0.000635544,0.000635544,0.000635544
27,1853.45,1.59229,1.50003,1.6216,0.42163,0.43746,0.38437,0.15343,2.16834,1.98874,2.00737,0.000594286,0.000594286,0.000594286
28,1923.46,1.58896,1.47256,1.61553,0.45165,0.44537,0.40098,0.16439,2.17403,1.96285,2.02072,0.000553027,0.000553027,0.000553027
29,1988.79,1.56374,1.43866,1.58598,0.53207,0.38636,0.40754,0.16284,2.16294,2.02523,2.00956,0.000511769,0.000511769,0.000511769
30,2056.04,1.54624,1.41394,1.58278,0.48019,0.42656,0.40619,0.16848,2.11679,1.99874,1.95602,0.000470511,0.000470511,0.000470511
31,2128.5,1.58787,1.36479,1.6325,0.45669,0.45285,0.41685,0.17553,2.11974,2.00445,1.94902,0.000429253,0.000429253,0.000429253
32,2195.25,1.55565,1.30655,1.61484,0.46462,0.45137,0.43352,0.18122,2.11093,1.95718,1.94057,0.000387994,0.000387994,0.000387994
33,2259.31,1.53057,1.26951,1.59236,0.4332,0.45094,0.41254,0.16367,2.15986,2.01487,1.98769,0.000346736,0.000346736,0.000346736
34,2324.24,1.50228,1.20651,1.5628,0.50925,0.45841,0.43734,0.181,2.14982,1.98002,2.01645,0.000305478,0.000305478,0.000305478
35,2388.22,1.47558,1.18512,1.54161,0.4658,0.47599,0.4371,0.19018,2.13335,1.91694,1.9934,0.00026422,0.00026422,0.00026422
36,2458.61,1.46224,1.1732,1.53606,0.54042,0.42735,0.44103,0.18573,2.17452,1.9753,2.00854,0.000222961,0.000222961,0.000222961
37,2522.14,1.44063,1.13556,1.5137,0.53575,0.44052,0.4528,0.18806,2.14157,1.91369,1.98423,0.000181703,0.000181703,0.000181703
38,2587.01,1.42171,1.10369,1.50601,0.53715,0.45824,0.45834,0.19952,2.12623,1.90426,1.98096,0.000140445,0.000140445,0.000140445
39,2653.71,1.39437,1.06709,1.48391,0.48376,0.49388,0.45257,0.19825,2.14961,1.93254,2.0048,9.91865e-05,9.91865e-05,9.91865e-05
40,2722.51,1.37266,1.05349,1.46841,0.49917,0.48294,0.45653,0.19411,2.14898,1.9139,2.00827,5.79283e-05,5.79283e-05,5.79283e-05
