epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3124,1.98022,3.22323,1.95366,0.00465,0.5823,0.05983,0.01742,2.41106,3.29327,2.18276,0.000543038,0.000543038,0.000543038
2,146.311,1.94855,2.60347,1.934,0.11247,0.12327,0.07817,0.02146,2.47675,3.15845,2.67785,0.00107151,0.00107151,0.00107151
3,214.996,1.99941,2.50585,1.97505,0.55335,0.0339,0.01346,0.00372,3.38142,4.15829,3.22482,0.00157248,0.00157248,0.00157248
4,288.257,2.00662,2.42102,1.99737,0.16506,0.14411,0.07251,0.01962,2.65932,5.77689,2.96465,0.00154323,0.00154323,0.00154323
5,355.52,1.95581,2.30596,1.9463,0.17688,0.22048,0.11692,0.03364,2.50843,2.90699,2.29734,0.00150197,0.00150197,0.00150197
6,422.941,1.91966,2.22464,1.92384,0.1598,0.15188,0.09663,0.03103,2.598,2.88618,2.3914,0.00146071,0.00146071,0.00146071
7,492.009,1.8903,2.11447,1.88663,0.20876,0.29528,0.1649,0.05221,2.43381,2.67196,2.25129,0.00141945,0.00141945,0.00141945
8,561.505,1.88745,2.08739,1.88711,0.28007,0.22578,0.20302,0.06752,2.38019,2.58647,2.27632,0.00137819,0.00137819,0.00137819
9,629.175,1.85949,2.04865,1.85635,0.25667,0.24016,0.16242,0.05503,2.37505,2.86399,2.21518,0.00133693,0.00133693,0.00133693
10,697.392,1.84032,1.96979,1.8407,0.21428,0.2548,0.17986,0.06813,2.32654,3.0475,2.26677,0.00129568,0.00129568,0.00129568
11,764.568,1.80884,1.95982,1.82137,0.27562,0.38333,0.26989,0.0933,2.24303,2.35495,2.09629,0.00125442,0.00125442,0.00125442
12,834.466,1.79335,1.90418,1.79565,0.26918,0.30842,0.20603,0.06869,2.35428,2.48253,2.25813,0.00121316,0.00121316,0.00121316
13,903.079,1.77108,1.86135,1.77826,0.36501,0.35337,0.2975,0.10281,2.2737,2.23112,2.05853,0.0011719,0.0011719,0.0011719
14,970.4,1.7682,1.8363,1.77346,0.35121,0.27517,0.28009,0.09929,2.29649,2.35167,2.14333,0.00113064,0.00113064,0.00113064
15,1037.57,1.74314,1.80462,1.75603,0.33256,0.332,0.28714,0.09899,2.36108,2.26366,2.1197,0.00108938,0.00108938,0.00108938
16,1108.26,1.74717,1.7719,1.74543,0.3225,0.31894,0.25094,0.08974,2.3051,2.2887,2.08483,0.00104813,0.00104813,0.00104813
