epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1477.92,0.64556,0.83861,1.22127,0.81199,0.66019,0.80055,0.64769,0.80703,0.7918,1.32138,0.000515,0.000515,0.000515
47,1509.99,0.64366,0.82327,1.22553,0.83931,0.69417,0.8113,0.65294,0.73552,0.78143,1.29489,0.000482,0.000482,0.000482
48,1541.97,0.64241,0.80561,1.22727,0.84927,0.65534,0.79916,0.64621,0.76534,0.80088,1.326,0.000449,0.000449,0.000449
49,1573.72,0.63661,0.80651,1.21918,0.8535,0.69903,0.8088,0.65455,0.74722,0.76186,1.28906,0.000416,0.000416,0.000416
50,1606.36,0.61802,0.77968,1.2094,0.85672,0.66505,0.79129,0.63893,0.75567,0.81541,1.30849,0.000383,0.000383,0.000383
51,1639.26,0.54411,0.76044,1.19012,0.86269,0.64047,0.78479,0.65547,0.69984,0.79387,1.26553,0.00035,0.00035,0.00035
52,1669.74,0.52749,0.68955,1.16843,0.84557,0.69109,0.81489,0.67018,0.68161,0.72027,1.26917,0.000317,0.000317,0.000317
53,1700.46,0.50752,0.65421,1.16518,0.85637,0.65534,0.79159,0.64328,0.72255,0.82267,1.32242,0.000284,0.000284,0.000284
54,1731.67,0.47292,0.62513,1.12075,0.78544,0.74636,0.82185,0.67485,0.66768,0.74764,1.22083,0.000251,0.000251,0.000251
55,1762.21,0.46622,0.62103,1.10613,0.87432,0.70874,0.83903,0.68269,0.63982,0.71015,1.23015,0.000218,0.000218,0.000218
56,1792.64,0.46678,0.5942,1.10128,0.86638,0.66505,0.82048,0.67475,0.6577,0.69306,1.24503,0.000185,0.000185,0.000185
57,1823.2,0.4602,0.57531,1.11009,0.87651,0.70388,0.84198,0.69577,0.6255,0.66387,1.20029,0.000152,0.000152,0.000152
58,1853.59,0.46265,0.60057,1.10782,0.83429,0.73322,0.83352,0.68811,0.64631,0.67852,1.24191,0.000119,0.000119,0.000119
59,1885.41,0.43331,0.55806,1.0948,0.89027,0.70388,0.84115,0.69316,0.63685,0.659,1.22082,8.6e-05,8.6e-05,8.6e-05
60,1916.17,0.43968,0.54271,1.09151,0.87764,0.71359,0.83811,0.69285,0.65619,0.65901,1.24444,5.3e-05,5.3e-05,5.3e-05
