epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8431,1.08252,2.25878,1.54746,0.16297,0.12621,0.04582,0.01211,2.70653,4.24036,3.94465,0.000653333,0.000653333,0.000653333
2,74.815,1.24001,1.99096,1.68773,0.05484,0.04854,0.01451,0.00477,3.21111,3.68274,4.24169,0.00129822,0.00129822,0.00129822
3,107.714,1.28678,1.87981,1.70638,0.00852,0.12621,0.00346,0.00103,3.50781,11.7094,4.69687,0.00192111,0.00192111,0.00192111
4,139.566,1.26943,1.78913,1.7207,0.0113,0.02913,0.00184,0.00044,3.56289,5.45054,4.63845,0.001901,0.001901,0.001901
5,171.193,1.26359,1.729,1.69669,0.31963,0.49515,0.25425,0.1066,1.86545,4.51581,2.9162,0.001868,0.001868,0.001868
6,202.655,1.16433,1.58275,1.63758,0.61531,0.47087,0.52231,0.33123,1.52537,2.4664,2.4006,0.001835,0.001835,0.001835
7,235.245,1.10878,1.49425,1.57103,0.45386,0.48409,0.40721,0.25828,1.40939,1.92454,2.23269,0.001802,0.001802,0.001802
8,266.581,1.07878,1.42908,1.5603,0.70678,0.49144,0.53852,0.34524,1.24619,1.83615,2.0455,0.001769,0.001769,0.001769
9,298.25,1.05278,1.4372,1.5403,0.61624,0.53883,0.58751,0.40534,1.28675,1.95383,2.0098,0.001736,0.001736,0.001736
10,329.986,1.02415,1.37489,1.50811,0.69357,0.49029,0.53892,0.38655,1.22854,1.99252,2.01993,0.001703,0.001703,0.001703
11,361.782,1.01371,1.33944,1.50857,0.77388,0.57282,0.65744,0.4712,1.05347,1.51065,1.71753,0.00167,0.00167,0.00167
12,393.132,0.98179,1.29841,1.48166,0.72241,0.55586,0.65909,0.4749,1.05897,1.41599,1.7451,0.001637,0.001637,0.001637
13,424.742,0.96367,1.26168,1.47649,0.66909,0.50971,0.55542,0.40047,1.24398,1.52633,1.91948,0.001604,0.001604,0.001604
14,456.89,0.94607,1.25193,1.47047,0.7231,0.51974,0.62132,0.46464,1.02639,1.40228,1.62506,0.001571,0.001571,0.001571
15,489.301,0.91803,1.21851,1.42723,0.80177,0.54854,0.69131,0.51063,0.98013,1.40083,1.54297,0.001538,0.001538,0.001538
16,520.898,0.90627,1.20977,1.42679,0.81632,0.51942,0.62101,0.45296,1.14252,1.49031,1.75632,0.001505,0.001505,0.001505
17,552.786,0.89977,1.19785,1.42109,0.75861,0.58738,0.67883,0.50647,1.00554,1.39346,1.61241,0.001472,0.001472,0.001472
18,585.172,0.88219,1.1747,1.40775,0.64876,0.59177,0.63994,0.46668,1.08654,1.27358,1.74736,0.001439,0.001439,0.001439
19,616.477,0.87168,1.15238,1.40144,0.68115,0.56001,0.64035,0.49429,0.89448,1.23663,1.47653,0.001406,0.001406,0.001406
20,647.42,0.84574,1.12269,1.38079,0.64295,0.55945,0.63814,0.47708,1.01349,1.29704,1.65166,0.001373,0.001373,0.001373
21,679.506,0.83274,1.09895,1.36702,0.85785,0.56311,0.71672,0.54201,0.89447,1.21769,1.4845,0.00134,0.00134,0.00134
22,711.095,0.85155,1.12371,1.38174,0.8611,0.60188,0.7305,0.56421,0.88142,1.11979,1.44528,0.001307,0.001307,0.001307
23,742.412,0.80883,1.07958,1.3493,0.7971,0.55306,0.69511,0.53576,0.89313,1.22368,1.44427,0.001274,0.001274,0.001274
24,773.581,0.81514,1.08405,1.36239,0.82836,0.57767,0.71554,0.55732,0.85268,1.08486,1.44359,0.001241,0.001241,0.001241
25,805.731,0.79666,1.0313,1.34911,0.84025,0.61279,0.74216,0.55821,0.91136,1.0841,1.51913,0.001208,0.001208,0.001208
26,837.61,0.80328,1.03798,1.34816,0.75369,0.64078,0.73755,0.56912,0.88535,0.95881,1.47591,0.001175,0.001175,0.001175
27,869.069,0.78674,1.02818,1.33183,0.88885,0.5534,0.72937,0.58454,0.8329,0.94606,1.42961,0.001142,0.001142,0.001142
28,900.853,0.78051,1.02092,1.33388,0.8817,0.54854,0.70109,0.56302,0.81172,1.071,1.37295,0.001109,0.001109,0.001109
29,933.747,0.78838,1.03309,1.34808,0.76095,0.57767,0.69572,0.53757,0.93093,1.03269,1.52609,0.001076,0.001076,0.001076
30,965.992,0.76542,1.00527,1.31029,0.82373,0.65049,0.78727,0.61013,0.82826,0.93612,1.39398,0.001043,0.001043,0.001043
31,998.175,0.7394,0.97189,1.2925,0.81998,0.66333,0.76539,0.61004,0.82094,0.93752,1.36386,0.00101,0.00101,0.00101
32,1031.78,0.74308,0.96319,1.29903,0.77437,0.68932,0.75627,0.59,0.81612,1.02095,1.37724,0.000977,0.000977,0.000977
33,1063.8,0.71421,0.94518,1.27969,0.84827,0.64563,0.7705,0.61787,0.81123,0.88712,1.36438,0.000944,0.000944,0.000944
34,1095.72,0.72169,0.95278,1.27954,0.84317,0.65534,0.75479,0.60298,0.77123,0.95519,1.37931,0.000911,0.000911,0.000911
35,1128.15,0.71367,0.93364,1.28352,0.80493,0.64099,0.77425,0.61973,0.74604,0.89134,1.32344,0.000878,0.000878,0.000878
36,1159.89,0.72191,0.93451,1.28206,0.89504,0.62096,0.78149,0.64334,0.74677,0.90092,1.29687,0.000845,0.000845,0.000845
37,1191.27,0.74212,0.94593,1.29925,0.7639,0.66019,0.75101,0.61406,0.74154,0.97795,1.30853,0.000812,0.000812,0.000812
38,1222.56,0.70462,0.92494,1.26674,0.8196,0.6837,0.7707,0.62244,0.76649,0.95099,1.3421,0.000779,0.000779,0.000779
39,1254.51,0.71439,0.92764,1.27595,0.76889,0.6699,0.7659,0.62295,0.7462,0.93826,1.29253,0.000746,0.000746,0.000746
40,1286.42,0.683,0.88091,1.2597,0.82359,0.66505,0.78583,0.62985,0.7631,0.876,1.30366,0.000713,0.000713,0.000713
41,1317.93,0.67663,0.89517,1.25628,0.79196,0.64677,0.77527,0.60449,0.79193,0.87377,1.39062,0.00068,0.00068,0.00068
42,1349.52,0.6644,0.85073,1.25377,0.79042,0.66505,0.7817,0.64539,0.71417,0.80621,1.26747,0.000647,0.000647,0.000647
43,1382.43,0.67601,0.86498,1.24991,0.71938,0.68446,0.74103,0.5958,0.74101,0.90156,1.32482,0.000614,0.000614,0.000614
44,1413.97,0.64128,0.81547,1.2293,0.86427,0.64911,0.80374,0.64187,0.77197,0.81914,1.30577,0.000581,0.000581,0.000581
45,1445.49,0.65183,0.84278,1.22412,0.85095,0.60194,0.75642,0.62226,0.79578,0.9584,1.39461,0.000548,0.000548,0.000548
